BE,uBE,N,Z,eBE,x,A,ee,eo,oe,oo,t,h,P,K,S,d,sp,sn,s2p,s2n,be_per_A
416.00119680000006,1.9200000000000003e-05,28,20,0,64,48,1.0,0.0,0.0,0.0,13.207708995578505,0.7142857142857143,0.0,3.634241185664279,0.16666666666666666,1.0,9.626547699999946,5.146453199999939,21.784938199999942,11.506998199999884,8.666691600000002
1176.147,0.294,94,53,1,1681,147,0.0,0.0,1.0,0.0,27.853400455274738,0.5638297872340425,2.4,5.277632087904077,0.2789115646258503,0.0,14.808999999999969,3.439690000000155,26.730000000000018,6.799070000000256,8.001
1269.297,0.477,101,58,1,1849,159,0.0,1.0,0.0,0.0,29.34932266478004,0.5742574257425742,5.62962962962963,5.41750151497718,0.27044025157232704,0.0,12.143000000000029,3.315499999999929,25.464999999999918,5.838880000000017,7.9830000000000005
1931.16,0.264,157,107,1,2500,264,0.0,0.0,0.0,1.0,41.15310591240709,0.6815286624203821,5.5588235294117645,6.415068659991652,0.1893939393939394,-1.0,2.3455609999998615,7.579999999999927,2.8621067999999923,14.097999999999956,7.315
1325.9522799,0.0207080999999999,92,79,0,169,171,0.0,0.0,1.0,0.0,30.808040291421882,0.8586956521739131,2.3076923076923075,5.550499102911546,0.07602339181286549,0.0,0.7880209000002196,9.8270164999999,-2.456889899999851,21.412340500000028,7.754106899999999
1271.0,0.328,87,77,1,100,164,0.0,0.0,0.0,1.0,29.96143191950181,0.8850574712643678,2.5,5.473703674798427,0.06097560975609756,-1.0,-0.005000000000109139,12.039999999999964,-3.429569999999785,21.973999999999933,7.75
1586.2223114,0.0139986,119,83,0,1296,202,0.0,0.0,0.0,1.0,34.42713741084797,0.6974789915966386,0.875,5.867464308442615,0.1782178217821782,-1.0,3.8489181999998436,8.845357199999853,5.702337400000033,16.037691399999858,7.852585700000001
1471.1746074,0.0209622,107,79,0,784,186,0.0,0.0,0.0,1.0,32.584317547703584,0.7383177570093458,2.590909090909091,5.708267473384861,0.15053763440860216,-1.0,3.6926160999998956,9.385232700000188,5.199488199999905,16.799088199999915,7.9095409
1813.284,0.241,144,97,1,2209,241,0.0,0.0,1.0,0.0,38.726777622501196,0.6736111111111112,8.181818181818182,6.223084253206058,0.1950207468879668,0.0,3.9179821999998694,6.313999999999851,5.813999999999851,13.469010299999809,7.524
1904.2822859,0.0061937,155,102,0,2809,257,0.0,1.0,0.0,0.0,40.42239878077115,0.6580645161290323,8.487804878048781,6.3578611797342,0.20622568093385213,0.0,2.8537140999999338,6.723714100000052,6.360714099999996,12.310306699999956,7.4096587000000005
1512.721336,0.0140532,110,86,0,576,196,1.0,0.0,0.0,0.0,33.74199169845321,0.7818181818181819,3.2,5.808785733563703,0.12244897959183673,1.0,-0.989828000000216,8.536106999999902,0.05110399999989568,19.348115000000007,7.7179660000000005
1470.6089811,0.0208467,106,83,0,529,189,0.0,0.0,1.0,0.0,32.93375139020674,0.7830188679245284,0.9523809523809523,5.738793548317167,0.12169312169312169,0.0,1.787012900000036,8.60255989999996,0.6493692000001374,19.31732719999991,7.780999899999999
804.3482022,0.0104903999999999,54,39,0,225,93,0.0,0.0,1.0,0.0,20.526833787405323,0.7222222222222222,2.933333333333333,4.530654896083492,0.16129032258064516,0.0,10.331148200000143,6.195637000000147,17.137061300000028,13.123415800000089,8.6489054
1387.1717301,0.0279395,99,74,0,625,173,0.0,1.0,0.0,0.0,31.047793084354215,0.7474747474747475,5.44,5.5720546555426225,0.14450867052023122,0.0,2.234695499999816,9.57102269999973,5.955914899999925,17.048044899999923,8.018333700000001
783.8402026,0.0062425999999999,49,42,0,49,91,0.0,1.0,0.0,0.0,20.231477245126285,0.8571428571428571,0.8888888888888888,4.497941445275415,0.07692307692307693,0.0,4.005845399999998,12.67106780000006,9.585828500000048,20.74088089999998,8.6136286
970.921,0.357,62,57,1,25,119,0.0,0.0,1.0,0.0,24.193459516997326,0.9193548387096774,4.421052631578948,4.9186847344587274,0.04201680672268908,0.0,2.0389999999999873,10.558999999999969,1.0720000000000027,23.3359999999999,8.159
1412.09971,0.0012075,104,71,0,1089,175,0.0,0.0,1.0,0.0,31.286623728379862,0.6826923076923077,7.333333333333333,5.593444710406984,0.18857142857142858,0.0,6.699720399999933,6.287968399999954,11.127005300000064,13.360851499999853,8.069141199999999
971.8030268,0.0738339999999999,71,45,0,676,116,0.0,0.0,0.0,1.0,23.785118866310174,0.6338028169014085,3.4375,4.876998961073313,0.22413793103448276,-1.0,12.977116300000034,6.232335400000011,23.39599320000002,10.293733399999951,8.3776123
1209.963,0.453,96,55,1,1681,151,0.0,0.0,1.0,0.0,28.356413335678806,0.5729166666666666,3.6842105263157894,5.325074021614986,0.271523178807947,0.0,14.701000000000022,2.997000000000071,26.430000000000064,7.166889999999967,8.013
2015.778,0.278,171,107,1,4096,278,0.0,0.0,0.0,1.0,42.5954486824304,0.6257309941520468,4.55,6.52651887934375,0.2302158273381295,-1.0,5.0190000000000055,13.041569999999638,8.34199999999987,17.742950000000064,7.251
1013.329011,0.0195566,76,46,0,900,122,1.0,0.0,0.0,0.0,24.598382690509563,0.6052631578947368,2.4,4.9596756638423,0.2459016393442623,1.0,12.241385099999889,3.8849003999999923,26.66120860000001,9.91898900000001,8.3059755
1440.582605,0.016169,103,82,0,441,185,0.0,1.0,0.0,0.0,32.46742297798574,0.7961165048543689,0.0,5.698019215305065,0.11351351351351352,0.0,-1.1067500000001473,11.211006999999881,0.2129192999998395,19.58838199999991,7.786933
1639.1242343,0.0119848,124,87,0,1369,211,0.0,0.0,1.0,0.0,35.44227874406976,0.7016129032258065,1.4285714285714286,5.953341813139051,0.17535545023696683,0.0,3.3474193000001833,7.4470117000000755,4.29660610000019,15.556531600000199,7.7683613
299.9275286,0.1047926,24,14,0,100,38,1.0,0.0,0.0,0.0,11.302878635921052,0.5833333333333334,2.4,3.361975406798963,0.2631578947368421,1.0,15.893305299999952,1.5806640999999786,33.24549139999999,6.305459400000018,7.8928297
883.008,0.108,55,53,1,4,108,0.0,0.0,0.0,1.0,22.678578898107713,0.9636363636363636,1.875,4.762203155904598,0.018518518518518517,-1.0,0.6884738999999627,12.973787600000037,-2.7984500000000025,23.84043699999995,8.176
1567.0019376,0.0020988,120,78,0,1764,198,1.0,0.0,0.0,0.0,33.97114044720589,0.65,2.4,5.828476683251456,0.21212121212121213,1.0,6.478704500000049,5.555981299999985,14.177182399999765,12.837782399999924,7.9141512
1160.72425,0.0023239999999999,86,54,0,1024,140,1.0,0.0,0.0,0.0,26.9619949977585,0.627906976744186,2.0,5.1924941018511035,0.22857142857142856,1.0,8.779861400000073,3.2821727000000465,19.433745600000066,8.385818999999856,8.2908875
457.4496568,0.0028885,31,22,0,81,53,0.0,1.0,0.0,0.0,14.109682667364165,0.7096774193548387,1.2,3.756285754221072,0.16981132075471697,0.0,10.305805999999961,6.933695,22.80683419999997,11.09367119999996,8.6311256
241.63275,0.001296,18,12,0,36,30,1.0,0.0,0.0,0.0,9.654893846056297,0.6666666666666666,1.3333333333333333,3.1072325059538586,0.2,1.0,13.358308000000022,2.312096600000018,29.774257999999975,8.090165200000001,8.054425
1970.983,0.271,162,109,1,2809,271,0.0,0.0,1.0,0.0,41.877382354992754,0.6728395061728395,4.074074074074074,6.471273626960365,0.19557195571955718,0.0,2.3769999999999527,5.641000000000076,2.8070000000000164,12.36200000000008,7.273
1176.6035794,0.0018602,80,62,0,324,142,1.0,0.0,0.0,0.0,27.218168369146653,0.775,1.7142857142857142,5.217103446276167,0.1267605633802817,1.0,2.548351700000012,8.60651810000013,7.355521400000271,19.12634060000005,8.2859407
882.3087635,0.0098056,60,43,0,289,103,0.0,0.0,1.0,0.0,21.973107636570674,0.7166666666666667,4.117647058823529,4.687548147653597,0.1650485436893204,0.0,10.780815699999835,5.966364499999941,17.825292999999874,13.825013500000068,8.5661045
1357.5076368,0.037968,97,71,0,676,168,0.0,0.0,0.0,1.0,30.446650444080973,0.7319587628865979,6.346153846153846,5.517848352762241,0.15476190476190477,-1.0,4.9330311000001075,9.081000900000163,7.642768200000091,16.376025199999958,8.0804026
2035.476,0.564,173,109,1,4096,282,0.0,0.0,0.0,1.0,43.003064501263836,0.630057803468208,3.4375,6.557672186169711,0.22695035460992907,-1.0,4.953999999999951,13.250390000000152,7.903999999999996,18.130769999999757,7.218
654.2693851999999,0.0040128,40,36,0,16,76,1.0,0.0,0.0,0.0,17.942201436929967,0.9,4.444444444444445,4.235823584254893,0.05263157894736842,1.0,3.1057640000001356,9.22706380000011,8.738188600000171,21.307217800000103,8.608807699999998
576.378,0.426,34,37,1,9,71,0.0,0.0,1.0,0.0,17.146371633935342,1.088235294117647,3.6,4.140817749422853,-0.04225352112676056,0.0,-0.035940000000096006,14.16599999999994,-2.8489099999999326,29.892993299999944,8.118
2005.14,0.828,168,108,1,3600,276,1.0,0.0,0.0,0.0,42.39090822029288,0.6428571428571429,4.363636363636363,6.510830071526432,0.21739130434782608,1.0,2.2789999999999964,4.7719999999999345,6.467999999999847,10.91599999999994,7.265000000000001
907.051,0.339,73,40,1,1089,113,0.0,1.0,0.0,0.0,23.373242358808824,0.547945205479452,4.7368421052631575,4.834588127111639,0.2920353982300885,0.0,16.006999999999948,6.315319999999929,32.84399999999994,8.429699999999912,8.027000000000001
2074.539,0.873,176,115,1,3721,291,0.0,0.0,1.0,0.0,43.9132242924123,0.6534090909090909,0.8888888888888888,6.626705387476669,0.20962199312714777,0.0,3.332999999999629,5.668999999999869,4.295999999999822,18.614089999999578,7.1290000000000004
1654.3873296000002,0.0246455999999999,125,91,0,1156,216,0.0,0.0,0.0,1.0,35.99999999999999,0.728,0.9,5.999999999999999,0.1574074074074074,-1.0,2.190670399999817,8.840374999999995,2.1559603999999126,15.3168533999999,7.659200600000001
635.183551,0.0058385999999999,39,35,0,16,74,0.0,0.0,0.0,1.0,17.626028979376553,0.8974358974358975,4.277777777777778,4.198336453808407,0.05405405405405406,-1.0,6.324441499999921,11.890176500000052,9.768872600000009,21.143556999999987,8.5835615
886.388,0.321,67,40,1,729,107,0.0,1.0,0.0,0.0,22.538370740628164,0.5970149253731343,6.0,4.7474593985234,0.2523364485981308,0.0,12.78332320000004,4.935999999999922,27.186376699999983,7.847999999999956,8.284
1687.7996886,0.0380508,129,93,0,1296,222,0.0,0.0,0.0,1.0,36.66361774464523,0.7209302325581395,2.357142857142857,6.055048946511104,0.16216216216216217,-1.0,2.540311399999837,8.6873956000004,2.504311400000006,15.385028200000079,7.6027013000000006
293.1200388,0.0003239999999999,17,19,0,4,36,0.0,0.0,0.0,1.0,10.902723556992836,1.1176470588235294,0.75,3.3019272488946263,-0.05555555555555555,-1.0,3.0078591000000188,15.454337199999998,1.4179612000000361,27.52621460000006,8.1422233
1100.2101941,0.0004192,75,56,0,361,131,0.0,1.0,0.0,0.0,25.79373282864238,0.7466666666666667,3.230769230769231,5.0787530781327,0.1450381679389313,0.0,4.333584699999847,9.82726630000002,10.317209199999752,17.01719059999982,8.3985511
682.758,0.332,53,30,1,529,83,0.0,1.0,0.0,0.0,19.027660542766455,0.5660377358490566,1.2,4.362070671454838,0.27710843373493976,0.0,15.07409999999993,3.6059999999999945,31.39235649999989,4.891999999999939,8.226
1227.519,0.459,97,56,1,1681,153,0.0,1.0,0.0,0.0,28.606251587889357,0.5773195876288659,4.285714285714286,5.348481241239363,0.2679738562091503,0.0,12.335000000000036,4.634999999999991,25.965999999999894,6.897300000000087,8.023
1939.888,0.526,161,102,1,3481,263,0.0,1.0,0.0,0.0,41.049118209771585,0.6335403726708074,7.885714285714286,6.4069585771855575,0.22433460076045628,0.0,3.9440000000001874,6.05600000000004,8.922000000000025,14.115999999999985,7.3759999999999994
1116.004644,0.0124984,74,62,0,144,136,1.0,0.0,0.0,0.0,26.445956073831777,0.8378378378378378,4.8,5.14256318131647,0.08823529411764706,1.0,0.6239665999999033,9.252075899999909,3.451355999999805,20.8295028,8.2059165
223.1240175,4.859999999999999e-05,15,12,0,9,27,0.0,1.0,0.0,0.0,8.999999999999998,0.8,2.2222222222222223,3.0,0.1111111111111111,0.0,9.5530957,8.504669300000046,21.886429399999997,12.168401799999998,8.2638525
384.03,0.714,34,17,1,289,51,0.0,0.0,1.0,0.0,13.752451353579682,0.5,2.0,3.708429769266189,0.3333333333333333,0.0,22.974000000000046,0.04200000000003001,41.18098640000005,0.20719000000008236,7.529999999999999
1608.4317095,0.0558448,120,89,0,961,209,0.0,0.0,1.0,0.0,35.21795958518306,0.7416666666666667,3.230769230769231,5.934472140399941,0.14832535885167464,0.0,2.0743345000000772,8.152112500000158,1.3705933000001096,17.844038499999897,7.6958455
1399.09294,0.0279475,100,75,0,625,175,0.0,0.0,1.0,0.0,31.286623728379862,0.75,5.04,5.593444710406984,0.14285714285714285,0.0,4.131845599999906,7.845903200000066,5.33706559999996,17.123513300000013,7.9948168
1773.545,0.0,139,96,1,1849,235,0.0,1.0,0.0,0.0,38.081312494483804,0.6906474820143885,6.7407407407407405,6.171005792776717,0.1829787234042553,0.0,1.8830000000000382,8.327923999999939,4.749115900000106,15.004911700000093,7.547000000000001
540.7227514,0.0185752,35,27,0,64,62,0.0,0.0,0.0,1.0,15.664905993978548,0.7714285714285715,0.875,3.9578916096804053,0.12903225806451613,-1.0,11.377465100000109,8.498472200000037,18.577958999999964,14.510675800000058,8.7213347
1129.9577272,0.0118184,76,60,0,256,136,1.0,0.0,0.0,0.0,26.445956073831777,0.7894736842105263,3.75,5.14256318131647,0.11764705882352941,1.0,2.1625420000000304,8.455993200000194,6.87641960000019,18.960527600000205,8.3085127
1585.0525737,0.0501092999999999,123,78,0,2025,201,0.0,1.0,0.0,0.0,34.3134225418098,0.6341463414634146,1.7142857142857142,5.857766002650652,0.22388059701492538,0.0,7.901246300000139,7.022728099999995,16.10643469999991,11.948426299999937,7.8858337
867.9067966,0.0240077,58,43,0,225,101,0.0,0.0,1.0,0.0,21.68773755577532,0.7413793103448276,3.7333333333333334,4.657009507803835,0.1485148514851485,0.0,10.050808399999937,6.2996462000000975,16.265051499999913,14.401966900000048,8.5931366
585.4097998999999,0.0008911,38,29,0,81,67,0.0,0.0,1.0,0.0,16.496172972233907,0.7631578947368421,0.9090909090909091,4.0615481004456795,0.13432835820895522,0.0,9.976576100000102,6.318808499999932,16.586206299999958,14.5593037000001,8.737459699999999
1260.6674022000002,0.0196842,86,73,0,169,159,0.0,0.0,1.0,0.0,29.34932266478004,0.8488372093023255,2.769230769230769,5.41750151497718,0.08176100628930817,0.0,2.178885799999989,9.455861799999866,0.9815989999999601,20.48204779999969,7.928725800000001
1087.6493616,3.87e-05,75,54,0,441,129,0.0,1.0,0.0,0.0,25.530528603808893,0.72,2.5454545454545454,5.05277434720856,0.16279069767441862,0.0,5.492662399999972,9.2557204000002,12.56083250000006,15.860146100000065,8.4313904
988.7576751,0.013455,65,52,0,169,117,0.0,1.0,0.0,0.0,23.92161929806432,0.8,1.7647058823529411,4.890973246508748,0.1111111111111111,0.0,3.1645202999999356,10.66657090000001,8.276922899999818,18.229666399999928,8.4509203
1276.7502347,0.0021352,97,60,0,1369,157,0.0,1.0,0.0,0.0,29.102687879321483,0.6185567010309279,6.0,5.394690712109591,0.2356687898089172,0.0,9.90099290000012,5.412323499999957,20.291676999999936,9.372526900000139,8.1321671
1457.0126208,0.0246684,106,77,0,841,183,0.0,0.0,1.0,0.0,32.232999873805014,0.7264150943396226,4.0,5.677411370845432,0.15846994535519127,0.0,4.4193208000001505,7.480032000000165,6.233964200000173,16.276060200000074,7.9618176
1348.6156476,0.0052104,103,64,0,1521,167,0.0,1.0,0.0,0.0,30.32571022328558,0.6213592233009708,8.4,5.506878446387352,0.23353293413173654,0.0,9.294416399999818,5.464352399999825,19.398217799999884,9.299352399999862,8.075542800000001
1026.3289454,0.0025047,70,51,0,361,121,0.0,0.0,1.0,0.0,24.463780996262468,0.7285714285714285,0.9230769230769231,4.9460874432487,0.15702479338842976,0.0,8.003097600000046,6.806362999999919,12.921375399999988,15.76636540000004,8.4820574
2053.485,0.574,173,114,1,3481,287,0.0,1.0,0.0,0.0,43.50988457278557,0.6589595375722543,0.0,6.596202284101479,0.20557491289198607,0.0,1.3949999999999818,6.866999999999734,3.905999999999949,12.576000000000022,7.155
263.92,0.52,28,12,1,256,40,1.0,0.0,0.0,0.0,11.696070952851462,0.42857142857142855,0.0,3.4199518933533937,0.4,1.0,22.25999999999999,-0.49500000000000455,47.30000000000001,2.236759999999947,6.598000000000001
704.3716665000001,0.0009801,46,35,0,121,81,0.0,0.0,1.0,0.0,18.720754407467133,0.7608695652173914,2.5454545454545454,4.3267487109222245,0.13580246913580246,0.0,9.903716299999928,7.592948100000058,15.671535400000039,17.179305099999965,8.695946500000002
1212.96,0.456,97,55,1,1764,152,0.0,0.0,0.0,1.0,28.48146943560797,0.5670103092783505,3.75,5.336803297443889,0.27631578947368424,-1.0,14.558999999999969,4.169889999999896,26.894000000000005,6.754269999999906,7.98
1805.52,0.24,143,97,1,2116,240,0.0,0.0,0.0,1.0,38.61957538422518,0.6783216783216783,7.96875,6.214465011907717,0.19166666666666668,-1.0,3.6669999999999163,7.764000000000124,5.3659999999999854,14.077999999999975,7.523
1826.874,0.243,151,92,1,3481,243,0.0,1.0,0.0,0.0,38.94073839830002,0.609271523178808,7.142857142857143,6.240251469155711,0.24279835390946503,0.0,6.541999999999916,5.193519999999808,13.880138999999872,9.054899999999861,7.518
493.8137885999999,0.0018639,33,24,0,81,57,0.0,1.0,0.0,0.0,14.810960957438846,0.7272727272727273,2.2222222222222223,3.8485011312768047,0.15789473684210525,0.0,10.591551800000104,7.538136000000122,22.71791280000008,11.733581900000104,8.663399799999999
525.3512340000001,0.003408,34,26,0,64,60,1.0,0.0,0.0,0.0,15.32618864787106,0.7647058823529411,1.5,3.9148676411688634,0.13333333333333333,1.0,8.773976999999945,5.578650599999946,19.911206999999877,13.607518199999845,8.755853900000002
1303.7508165,0.0235949999999999,90,75,0,225,165,0.0,0.0,1.0,0.0,30.08310291760778,0.8333333333333334,3.7333333333333334,5.484806552432618,0.09090909090909091,0.0,2.0611421000000973,9.249290700000074,0.9910253000000466,20.3921835000001,7.9015201
887.76324,0.0042223999999999,57,47,0,100,104,0.0,0.0,0.0,1.0,22.115099254715485,0.8245614035087719,2.1,4.7026693754415145,0.09615384615384616,-1.0,6.506346000000008,10.025694000000044,10.069617800000174,17.96856820000005,8.536185
1595.048133,0.005084,119,86,0,1089,205,0.0,1.0,0.0,0.0,34.76716195915227,0.7226890756302521,2.5454545454545454,5.896368539970366,0.16097560975609757,0.0,0.8260596000000078,9.494457199999943,3.3541791000000103,17.06759790000001,7.7807226
395.6959488,0.0167664,30,18,0,144,48,1.0,0.0,0.0,0.0,13.207708995578505,0.6,1.0,3.634241185664279,0.25,1.0,14.545540899999992,2.7720512000000213,31.812246199999947,7.004051199999992,8.2436656
1082.696,0.544,71,65,1,36,136,0.0,0.0,0.0,1.0,26.445956073831777,0.9154929577464789,6.346153846153846,5.14256318131647,0.04411764705882353,-1.0,-0.9500399999999445,13.167000000000144,-3.0400099999999384,23.92600000000016,7.960999999999999
578.135811,0.0007457999999999,36,30,0,36,66,1.0,0.0,0.0,0.0,16.331620904278438,0.8333333333333334,1.6,4.04124002062219,0.09090909090909091,1.0,5.268900000000031,7.052466799999934,12.657511799999952,17.25056500000005,8.7596335
418.7045856,7.680000000000001e-05,26,22,0,16,48,1.0,0.0,0.0,0.0,13.207708995578505,0.8461538461538461,1.0,3.634241185664279,0.08333333333333333,1.0,6.758175900000026,8.142376900000045,16.346354400000052,19.08154940000003,8.7230122
618.9499549999999,0.0008094,40,31,0,81,71,0.0,0.0,1.0,0.0,17.146371633935342,0.775,2.3076923076923075,4.140817749422853,0.1267605633802817,0.0,9.735749800000008,6.520474599999943,15.391567699999996,15.702847000000133,8.717604999999999
410.2414897,0.0008036,30,19,0,121,49,0.0,0.0,1.0,0.0,13.390518279406722,0.6333333333333333,0.6666666666666666,3.6593057100229713,0.22448979591836735,0.0,17.266705299999956,4.1876753000000235,28.21679660000001,9.046595300000035,8.3722753
1626.2757479999998,0.0537628,122,89,0,1089,211,0.0,0.0,1.0,0.0,35.44227874406976,0.7295081967213115,2.5454545454545454,5.953341813139051,0.15639810426540285,0.0,2.3215656000002127,7.9152068000003055,2.0672271000003093,17.145092400000294,7.707467999999999
1559.1604974,0.0101304,115,86,0,841,201,0.0,1.0,0.0,0.0,34.3134225418098,0.7478260869565218,2.933333333333333,5.857766002650652,0.14427860696517414,0.0,0.08002759999999398,10.238466199999948,1.8692071000000396,18.21927370000003,7.7570174
1159.4657413999998,0.0049415999999999,89,53,0,1296,142,0.0,0.0,0.0,1.0,27.218168369146653,0.5955056179775281,2.1,5.217103446276167,0.2535211267605634,-1.0,12.688885100000107,4.125258600000052,23.04633220000005,6.6462586000002375,8.165251699999999
186.15,0.51,21,9,1,144,30,0.0,0.0,0.0,1.0,9.654893846056297,0.42857142857142855,0.5,3.1072325059538586,0.4,-1.0,25.055796200000003,0.1910000000000025,44.88620799999998,-1.2249900000000196,6.205
306.762,0.287,27,14,1,169,41,0.0,1.0,0.0,0.0,11.890202136872691,0.5185185185185185,0.8571428571428571,3.4482172403827303,0.3170731707317073,0.0,19.40631239999999,4.458000000000027,39.98258679999998,5.031000000000006,7.482
955.26,0.116,61,55,1,36,116,0.0,0.0,0.0,1.0,23.785118866310174,0.9016393442622951,3.4375,4.876998961073313,0.05172413793103448,-1.0,2.7306882000000314,12.54822839999997,2.1920000000000073,22.53582540000002,8.235
1272.739999,0.001333,93,62,0,961,155,0.0,1.0,0.0,0.0,28.855003552528782,0.6666666666666666,5.739130434782608,5.371685354944832,0.2,0.0,7.180596199999854,7.240843400000131,15.210631400000011,12.62908040000002,8.2112258
1030.7866908,0.0121155,68,55,0,169,123,0.0,0.0,1.0,0.0,24.732617117726065,0.8088235294117647,3.6842105263157894,4.97318983326859,0.10569105691056911,0.0,5.335100799999964,8.768722799999978,7.293784199999891,19.18872169999986,8.380379600000001
2081.226,0.588,176,118,1,3364,294,1.0,0.0,0.0,0.0,44.214517183594644,0.6704545454545454,2.6666666666666665,6.649399761150975,0.19727891156462585,1.0,4.9644499999999425,6.19399999999996,6.362479999999778,18.912179999999807,7.079000000000001
782.439208,0.002714,48,44,0,16,92,1.0,0.0,0.0,0.0,20.379423055219398,0.9166666666666666,1.5,4.514357435474001,0.043478260869565216,1.0,1.999563500000022,10.986823100000038,6.379012800000055,24.425020000000018,8.504774
848.3618624,0.3176056,52,52,0,0,104,1.0,0.0,0.0,0.0,22.115099254715485,1.0,1.0,4.7026693754415145,0.0,1.0,-4.402512399999978,11.256001600000104,-5.989482400000043,24.735566800000015,8.1573256
567.9921654,0.0139722,39,27,0,144,66,0.0,0.0,0.0,1.0,16.331620904278438,0.6923076923076923,0.9166666666666666,4.04124002062219,0.18181818181818182,-1.0,14.623118100000056,6.984562000000096,23.736442999999895,11.376681400000052,8.6059419
1725.2069849999998,0.0025875,137,88,0,2401,225,0.0,1.0,0.0,0.0,36.993181114957046,0.6423357664233577,3.8823529411764706,6.082201995573399,0.21777777777777776,0.0,4.972807800000282,6.396788600000264,10.766230700000278,10.958204600000045,7.667586599999999
1315.9027973,0.0006923,95,66,0,841,161,0.0,1.0,0.0,0.0,29.59492547535442,0.6947368421052632,7.172413793103448,5.4401218254147965,0.18012422360248448,0.0,5.274043899999924,8.196993700000121,11.689871600000515,14.467994699999963,8.1733093
920.159,0.452,72,41,1,961,113,0.0,0.0,1.0,0.0,23.373242358808824,0.5694444444444444,4.7368421052631575,4.834588127111639,0.2743362831858407,0.0,16.807000000000016,2.899000000000001,30.201000000000022,6.8559999999999945,8.143
1775.428,0.472,139,97,1,1764,236,0.0,0.0,0.0,1.0,38.189268112707936,0.697841726618705,6.964285714285714,6.179746605865644,0.17796610169491525,-1.0,2.866115900000068,8.470999999999776,3.9137899999998353,15.521999999999935,7.523000000000001
