BE,uBE,N,Z,eBE
278.7208616,7.819999999999999e-05,16,18,0
291.46117350000003,0.000679,17,18,0
306.7167456,2.8800000000000002e-05,18,18,0
315.5042022,0.0002072,19,18,0
327.3426666,0.00019380000000000002,20,18,0
333.94135320000004,0.0049998,21,18,0
343.810376,8e-06,22,18,0
349.90930529999997,0.0003485,23,18,0
359.3357922,0.005775000000000001,24,18,0
364.9942426,0.0053105,25,18,0
373.7290084,0.001584,26,18,0
378.897867,0.000513,27,18,0
386.969641,0.0023276,28,18,0
390.63697499999995,0.0012125999999999999,29,18,0
395.6959488,0.0167664,30,18,0
398.468,0.392,31,18,1
402.7,0.5,32,18,1
404.022,0.408,33,18,1
407.004,0.624,34,18,1
406.881,0.689,35,18,1
409.212,0.81,36,18,1
201.097,0.31,12,19,1
221.44,0.384,13,19,1
243.936,0.198,14,19,1
260.78,0.204,15,19,1
278.8044315,0.0005110000000000001,16,19,0
293.1200388,0.00032399999999999996,17,19,0
308.574376,9.25e-05,18,19,0
320.64625340000003,0.00019380000000000002,19,19,0
333.7240062,1.1699999999999998e-05,20,19,0
341.52362800000003,5.6e-05,21,19,0
351.6189971,1.2299999999999999e-05,22,19,0
359.1527982,0.00010499999999999999,23,19,0
368.7774772,0.00040849999999999995,24,19,0
376.0549012,0.00041799999999999997,25,19,0
384.9603615,0.000522,26,19,0
391.82996879999996,0.0007268000000000001,27,19,0
400.19933649999996,0.0013959,28,19,0
404.8431552,0.0007727999999999999,29,19,0
410.2414897,0.0008036000000000001,30,19,0
414.429165,0.00773,31,19,0
419.28808499999997,0.013040699999999999,32,19,0
421.98157560000004,0.033534800000000003,33,19,0
425.21098639999997,0.111777,34,19,0
426.114,0.378,35,19,1
428.56,0.495,36,19,1
429.128,0.616,37,19,1
431.091,0.627,38,19,1
431.346,0.696,39,19,1
432.588,0.826,40,19,1
219.681,0.396,13,20,1
243.882,0.306,14,20,1
261.66,0.21,15,20,1
281.3716764,0.0399996,16,20,0
296.1278979,0.0006327,17,20,0
313.12164920000004,0.00019380000000000002,18,20,0
326.4171729,0.0005967,19,20,0
