Z,N,spinAndParity,betaMinus(keV),massExcess(keV),bindingEnergyLDMFit(keV),bindingEnergy(keV),bindingEnergyUncertainty,bindingEnergyLDMFitUncertainty,halflife,A,I,J,parity,S,L,d,P,K,np,nn,T,BEpA,BE,semf,error_semf,dz,error_dz
9,15,(3+),13500.0,7540.0,-194.0,7464.0,4,4,1,24,0.25,3.0,1.0,-0.5,3.5,-1,0.8333331944444675,2.8844991406148166,8,20,3.0,7.464,179.13600000000002,171.86621621390876,7.269783786091267,178.0837699962554,1.0522300037446257
9,15,(3+),13500.0,7540.0,-194.0,7464.0,4,4,1,24,0.25,3.0,1.0,-0.5,3.5,-1,0.8333331944444675,2.8844991406148166,8,20,3.0,7.464,179.13600000000002,171.86621621390876,7.269783786091267,178.0837699962554,1.0522300037446257
9,12,5/2+,5684.2,-47.6,179.99,7738.29,9,9,1,21,0.14285714285714285,2.5,1.0,0.5,2.0,0,0.799999840000032,2.7589241763811203,8,8,1.5,7.73829,162.50409,163.93036700369484,-1.4262770036948496,162.95939532526265,-0.4553053252626569
9,13,(4+),10818.0,2793.0,37.0,7624.3,6,6,1,22,0.18181818181818182,4.0,1.0,-0.5,4.5,-1,0.8333331944444675,2.802039330655387,8,8,2.0,7.6243,167.7346,166.14115986826437,1.5934401317356333,167.7359451701353,-0.001345170135294893
9,13,(4+),10818.0,2793.0,37.0,7624.3,6,6,1,22,0.18181818181818182,4.0,1.0,-0.5,4.5,-1,0.8333331944444675,2.802039330655387,8,8,2.0,7.6243,167.7346,166.14115986826437,1.5934401317356333,167.7359451701353,-0.001345170135294893
9,20,(5/2+),21800.0,40200.0,-412.0,6444.0,18,18,1,29,0.3793103448275862,2.5,1.0,0.5,2.0,0,0.0,3.072316825685847,8,20,5.5,6.444,186.876,171.93125929808582,14.944740701914185,186.93291847174996,-0.05691847174995246
9,20,(5/2+),21800.0,40200.0,-412.0,6444.0,18,18,1,29,0.3793103448275862,2.5,1.0,0.5,2.0,0,0.0,3.072316825685847,8,20,5.5,6.444,186.876,171.93125929808582,14.944740701914185,186.93291847174996,-0.05691847174995246
9,20,(5/2+),21800.0,40200.0,-412.0,6444.0,18,18,1,29,0.3793103448275862,2.5,1.0,0.5,2.0,0,0.0,3.072316825685847,8,20,5.5,6.444,186.876,171.93125929808582,14.944740701914185,186.93291847174996,-0.05691847174995246
9,20,(5/2+),21800.0,40200.0,-412.0,6444.0,18,18,1,29,0.3793103448275862,2.5,1.0,0.5,2.0,0,0.0,3.072316825685847,8,20,5.5,6.444,186.876,171.93125929808582,14.944740701914185,186.93291847174996,-0.05691847174995246
9,9,1+,-4444.5,873.1,45.55,7631.64,3,3,1,18,0.0,1.0,1.0,-0.5,1.5,-1,0.499999750000125,2.6207413942088964,8,8,0.0,7.63164,137.36952,136.26612578250413,1.103394217495861,141.8838770654276,-4.5143570654276175
