Z,elem,A,N,Rav,delta_Rav,x,ee,eo,oe,oo,t,h,P,K,S,d,diff
79,Au,193,114,5.4221,0.0042,1225,0.0,0.0,1.0,0.0,33.39680130004011,0.6929824561403509,2.3999998400000107,5.778996565152129,0.18134715025906736,0.0,-0.013519856939784525
64,Gd,154,90,5.1223,0.004,676,1.0,0.0,0.0,0.0,28.730762177301624,0.7111111111111111,5.090908859504142,5.3601084109653625,0.16883116883116883,1.0,0.005282865773577505
69,Tm,156,87,5.0976,0.0135,324,0.0,0.0,0.0,1.0,28.978978026935593,0.7931034482758621,3.611110910493838,5.383212612087283,0.11538461538461539,-1.0,-0.053131012855126336
42,Mo,90,48,4.3265,0.0016,36,1.0,0.0,0.0,0.0,20.08298850246508,0.875,1.5999998400000162,4.481404746557164,0.06666666666666667,1.0,-0.011637466568668486
80,Hg,193,113,5.4238,0.0035,1089,0.0,1.0,0.0,0.0,33.39680130004011,0.7079646017699115,1.7333332177777856,5.778996565152129,0.17098445595854922,0.0,-0.006891218075474548
48,Cd,107,59,4.5466,0.0039,121,0.0,1.0,0.0,0.0,22.538370740628164,0.8135593220338984,1.6363634876033195,4.7474593985234,0.102803738317757,0.0,-0.0006769733107603315
10,Ne,25,15,2.9316,0.0088,25,0.0,1.0,0.0,0.0,8.549879733383484,0.6666666666666666,1.428571224489825,2.924017738212866,0.2,0.0,-0.030012068630357547
68,Er,156,88,5.1429,0.0285,400,1.0,0.0,0.0,0.0,28.978978026935593,0.7727272727272727,4.19999979000001,5.383212612087283,0.1282051282051282,1.0,-0.008951545777423853
35,Br,79,44,4.1629,0.0021,81,0.0,0.0,1.0,0.0,18.41131157020244,0.7954545454545454,3.23076898224854,4.290840427026207,0.11392405063291139,0.0,-0.00024504431636707125
60,Nd,134,74,4.9128,0.0026,196,1.0,0.0,0.0,0.0,26.186042329573482,0.8108108108108109,4.444444197530878,5.117229946912048,0.1044776119402985,1.0,-0.02014631492913921
78,Pt,192,114,5.4169,0.0028,1296,1.0,0.0,0.0,0.0,33.28134116883046,0.6842105263157895,2.9999998125000116,5.768998281229633,0.1875,1.0,-0.0168154736368038
25,Mn,50,25,3.712,0.0196,0,0.0,0.0,0.0,1.0,13.572088082974531,1.0,1.4999997500000417,3.6840314986403864,0.0,-1.0,0.01822098632426572
