Z,A,M
 59,132, -74.378
 60,132, -70.198
 61,132, -60.181
 62,132, -54.360
 63,132, -41.543
 64,132, -31.890
 65,132, -15.893
 66,132,-3.175
 67,132,17.649
 68,132,35.205
 69,132,59.131
 70,132,79.929
 35,133, 264.995
 36,133, 230.258
 37,133, 198.566
 38,133, 167.418
 39,133, 139.140
 40,133, 111.427
 41,133,86.471
 42,133,62.733
 43,133,41.520
 44,133,20.898
 45,133, 2.634
 46,133, -15.028
 47,133, -30.495
 48,133, -45.352
 49,133, -58.175
 50,133, -70.384
 51,133, -78.271
 52,133, -82.748
 53,133, -85.474
 54,133, -87.486
 55,133, -87.786
 56,133, -87.259
 57,133, -85.064
 58,133, -81.935
 59,133, -77.187
 60,133, -71.402
 61,133, -64.049
 62,133, -55.562
 63,133, -46.801
 64,133, -35.483
 65,133, -22.530
 66,133,-8.074
 67,133, 8.789
 68,133,28.064
 69,133,48.860
 70,133,71.322
 35,134, 276.830
 36,134, 240.794
 37,134, 209.488
 38,134, 176.932
 39,134, 149.153
 40,134, 119.932
 41,134,95.551
 42,134,70.209
 43,134,49.728
 44,134,27.413
 45,134,10.004
 46,134,-9.434
 47,134, -23.921
 48,134, -40.633
 49,134, -52.350
 50,134, -66.489
 51,134, -73.300
 52,134, -82.425
 53,134, -83.813
 54,134, -87.962
 55,134, -86.860
 56,134, -88.607
 57,134, -84.940
 58,134, -84.217
 59,134, -77.921
 60,134, -74.670
 61,134, -65.689
 62,134, -59.864
 63,134, -48.151
 64,134, -41.135
 65,134, -26.497
 66,134, -15.077
 67,134, 2.726
 68,134,18.833
 69,134,41.337
 70,134,60.645
 36,135, 252.920
 37,135, 220.248
 38,135, 188.103
 39,135, 158.854
 40,135, 130.157
 41,135, 104.174
 42,135,79.470
 43,135,57.330
 44,135,35.774
 45,135,16.621
 46,135,-1.935
 47,135, -18.247
 48,135, -33.951
 49,135, -47.569
 50,135, -60.573
 51,135, -69.510
 52,135, -77.538
 53,135, -83.489
 54,135, -86.296
 55,135, -87.398
 56,135, -87.736
 57,135, -86.408
 58,135, -84.204
 59,135, -80.376
 60,135, -75.568
 61,135, -69.182
 62,135, -61.717
 63,135, -52.724
 64,135, -42.557
 65,135, -32.456
 66,135, -19.339
 67,135,-4.631
 68,135,12.416
 69,135,31.807
 70,135,52.807
 36,136, 263.704
 37,136, 231.391
 38,136, 197.878
 39,136, 169.098
 40,136, 138.932
 41,136, 113.497
 42,136,87.228
 43,136,65.783
 44,136,42.573
 45,136,24.234
 46,136, 3.942
 47,136, -11.434
 48,136, -28.952
 49,136, -41.510
 50,136, -56.403
 51,136, -64.297
 52,136, -74.445
 53,136, -79.259
 54,136, -86.496
 55,136, -86.233
 56,136, -88.782
 57,136, -86.022
 58,136, -86.160
 59,136, -80.828
 60,136, -78.489
 61,136, -70.522
 62,136, -65.650
 63,136, -54.994
 64,136, -47.544
 65,136, -34.154
 66,136, -25.673
 67,136,-9.246
 68,136, 3.905
 69,136,25.032
 70,136,42.895
 37,137, 242.413
 38,137, 209.282
 39,137, 179.072
 40,137, 149.398
 41,137, 122.407
 42,137,96.741
 43,137,73.675
 44,137,51.186
 45,137,31.142
 46,137,11.691
 47,137,-5.470
 48,137, -22.025
 49,137, -36.444
 50,137, -50.248
 51,137, -60.211
 52,137, -69.296
 53,137, -76.283
 54,137, -82.362
 55,137, -86.465
 56,137, -87.643
 57,137, -87.158
 58,137, -85.857
 59,137, -82.929
 60,137, -79.077
 61,137, -73.640
 62,137, -67.177
 63,137, -59.174
 64,137, -50.048
 65,137, -39.432
 66,137, -27.602
 67,137, -15.907
 68,137,-1.023
 69,137,16.207
 70,137,35.788
 37,138, 253.770
 38,138, 219.311
 39,138, 189.540
 40,138, 158.435
 41,138, 131.967
 42,138, 104.774
 43,138,82.366
 44,138,58.262
 45,138,38.991
 46,138,17.843
 47,138, 1.574
 48,138, -16.756
 49,138, -30.160
 50,138, -45.812
 51,138, -54.765
 52,138, -65.915
 53,138, -71.799
 54,138, -80.044
 55,138, -82.951
 56,138, -88.382
 57,138, -86.504
 58,138, -87.483
 59,138, -83.094
 60,138, -81.649
 61,138, -74.677
 62,138, -70.742
 63,138, -61.125
 64,138, -54.649
 65,138, -42.336
 66,138, -33.274
 67,138, -18.223
 68,138,-8.040
 69,138,10.146
 70,138,26.604
 37,139, 265.047
 38,139, 230.942
 39,139, 199.780
 40,139, 169.136
 41,139, 141.158
 42,139, 114.533
 43,139,90.543
 44,139,67.121
 45,139,46.183
 46,139,25.835
 47,139, 7.820
 48,139,-9.591
 49,139, -24.817
 50,139, -39.427
 51,139, -50.394
 52,139, -60.514
 53,139, -68.514
 54,139, -75.637
 55,139, -80.760
 56,139, -84.975
 57,139, -87.305
 58,139, -86.886
 59,139, -84.840
 60,139, -81.925
 61,139, -77.420
 62,139, -71.940
 63,139, -64.912
 64,139, -56.810
 65,139, -47.204
 66,139, -36.433
 67,139, -24.206
 68,139, -10.725
 69,139, 2.784
 70,139,20.196
 38,140, 241.218
 39,140, 210.466
 40,140, 178.431
 41,140, 150.949
 42,140, 122.834
 43,140,99.466
 44,140,74.467
 45,140,54.264
 46,140,32.254
 47,140,15.091
 48,140,-4.058
 49,140, -18.314
 50,140, -34.735
 51,140, -44.724
 52,140, -56.854
 53,140, -63.785
 54,140, -73.018
 55,140, -76.981
 56,140, -83.405
 57,140, -84.482
 58,140, -88.179
 59,140, -84.712
 60,140, -84.144
 61,140, -78.147
 62,140, -75.137
 63,140, -66.541
 64,140, -61.026
 65,140, -49.774
 66,140, -41.705
 67,140, -27.747
 68,140, -17.083
 69,140,-0.380
 70,140,11.706
 72,140,52.943
 38,141, 253.070
 39,141, 220.965
 40,141, 189.362
 41,141, 160.414
 42,141, 132.835
 43,141, 107.921
 44,141,83.568
 45,141,61.734
 46,141,40.485
 47,141,21.611
 48,141, 3.340
 49,141, -12.701
 50,141, -28.126
 51,141, -40.076
 52,141, -51.210
 53,141, -60.202
 54,141, -68.347
 55,141, -74.470
 56,141, -79.715
 57,141, -83.050
 58,141, -85.473
 59,141, -86.097
 60,141, -84.101
 61,141, -80.512
 62,141, -76.002
 63,141, -69.933
 64,141, -62.842
 65,141, -54.233
 66,141, -44.506
 67,141, -33.306
 68,141, -20.898
 69,141,-7.068
 70,141, 8.056
 72,141,45.719
 38,142, 263.587
 39,142, 231.866
 40,142, 198.907
 41,142, 170.433
 42,142, 141.400
 43,142, 117.074
 44,142,91.178
 45,142,70.043
 46,142,47.168
 47,142,29.105
 48,142, 9.130
 49,142,-5.983
 50,142, -23.183
 51,142, -34.186
 52,142, -47.279
 53,142, -55.235
 54,142, -65.438
 55,142, -70.435
 56,142, -77.833
 57,142, -79.952
 58,142, -84.626
 59,142, -83.940
 60,142, -85.963
 61,142, -80.926
 62,142, -78.825
 63,142, -71.236
 64,142, -66.671
 65,142, -56.464
 66,142, -49.378
 67,142, -36.499
 68,142, -26.845
 69,142, -11.249
 70,142, 1.010
 72,142,36.380
 38,143, 275.655
 39,143, 242.619
 40,143, 210.064
 41,143, 180.167
 42,143, 151.637
 43,143, 125.802
 44,143, 100.517
 45,143,77.786
 46,143,55.633
 47,143,35.895
 48,143,16.756
 49,143,-0.107
 50,143, -16.354
 51,143, -29.268
 52,143, -41.396
 53,143, -51.362
 54,143, -60.510
 55,143, -67.615
 56,143, -73.868
 57,143, -78.190
 58,143, -81.627
 59,143, -83.240
 60,143, -83.934
 61,143, -82.908
 62,143, -79.351
 63,143, -74.231
 64,143, -68.136
 65,143, -60.513
 66,143, -51.819
 67,143, -41.636
 68,143, -30.291
 69,143, -17.502
 70,143,-3.464
 71,143,11.621
 72,143,29.395
 38,144, 286.409
 39,144, 253.730
 40,144, 219.856
 41,144, 190.411
 42,144, 160.461
 43,144, 135.181
 44,144, 108.388
 45,144,86.319
 46,144,62.574
 47,144,43.608
 48,144,22.801
 49,144, 6.822
 50,144, -11.167
 51,144, -23.164
 52,144, -37.200
 53,144, -46.163
 54,144, -57.317
 55,144, -63.329
 56,144, -71.685
 57,144, -74.826
 58,144, -80.459
 59,144, -80.800
 60,144, -83.784
 61,144, -81.394
 62,144, -81.796
 63,144, -75.199
 64,144, -71.574
 65,144, -62.401
 66,144, -56.289
 67,144, -44.478
 68,144, -35.825
 69,144, -21.325
 70,144, -10.088
 71,144, 6.839
 72,144,20.928
 39,145, 264.733
 40,145, 231.235
 41,145, 200.410
 42,145, 170.934
 43,145, 144.178
 44,145, 117.962
 45,145,94.332
 46,145,71.271
 47,145,50.664
 48,145,30.652
 49,145,12.957
 50,145,-4.121
 51,145, -17.981
 52,145, -31.083
 53,145, -42.006
 54,145, -52.140
 55,145, -60.208
 56,145, -67.453
 57,145, -72.744
 58,145, -77.177
 59,145, -79.762
 60,145, -81.454
 61,145, -81.401
 62,145, -80.419
 63,145, -77.792
 64,145, -72.683
 65,145, -66.036
 66,145, -58.365
 67,145, -49.191
 68,145, -38.898
 69,145, -27.144
 70,145, -14.183
 71,145,-0.063
 72,145,15.832
 40,146, 241.270
 41,146, 210.875
 42,146, 180.014
 43,146, 153.782
 44,146, 126.090
 45,146, 103.087
 46,146,78.468
 47,146,58.594
 48,146,36.946
 49,146,20.095
 50,146, 1.308
 51,146, -11.664
 52,146, -26.627
 53,146, -36.578
 54,146, -48.668
 55,146, -55.678
 56,146, -64.976
 57,146, -69.120
 58,146, -75.698
 59,146, -77.047
 60,146, -80.976
 61,146, -79.597
 62,146, -80.942
 63,146, -76.898
 64,146, -75.725
 65,146, -67.574
 66,146, -62.429
 67,146, -51.675
 68,146, -44.018
 69,146, -30.604
 70,146, -20.384
 71,146,-4.467
 72,146, 8.575
 74,146,44.663
 40,147, 252.869
 41,147, 221.136
 42,147, 190.719
 43,147, 163.045
 44,147, 135.898
 45,147, 111.366
 46,147,87.396
 47,147,65.913
 48,147,45.021
 49,147,26.487
 50,147, 8.567
 51,147,-6.220
 52,147, -20.279
 53,147, -32.142
 54,147, -43.244
 55,147, -52.260
 56,147, -60.482
 57,147, -66.726
 58,147, -72.139
 59,147, -75.680
 60,147, -78.354
 61,147, -79.257
 62,147, -79.258
 63,147, -77.586
 64,147, -74.976
 65,147, -70.790
 66,147, -64.132
 67,147, -55.960
 68,147, -46.713
 69,147, -35.988
 70,147, -24.097
 71,147, -10.915
 72,147, 3.877
 73,147,19.992
 74,147,38.125
 40,148, 263.144
 41,148, 231.820
 42,148, 200.052
 43,148, 172.872
 44,148, 144.282
 45,148, 120.343
 46,148,94.846
 47,148,74.060
 48,148,51.564
 49,148,33.832
 50,148,14.236
 51,148, 0.308
 52,148, -15.565
 53,148, -26.487
 54,148, -39.499
 55,148, -47.490
 56,148, -57.715
 57,148, -62.848
 58,148, -70.356
 59,148, -72.697
 60,148, -77.556
 61,148, -77.171
 62,148, -79.446
 63,148, -76.396
 64,148, -76.148
 65,148, -70.494
 66,148, -67.784
 67,148, -58.081
 68,148, -51.414
 69,148, -39.080
 70,148, -29.874
 71,148, -14.936
 72,148,-2.940
 73,148,14.945
 74,148,29.430
 40,149, 274.961
 41,149, 242.340
 42,149, 210.988
 43,149, 182.399
 44,149, 154.322
 45,149, 128.887
 46,149, 104.004
 47,149,81.640
 48,149,59.862
 49,149,40.478
 50,149,21.708
 51,149, 6.011
 52,149,-8.988
 53,149, -21.775
 54,149, -33.830
 55,149, -43.781
 56,149, -52.963
 57,149, -60.146
 58,149, -66.526
 59,149, -71.008
 60,149, -74.651
 61,149, -76.496
 62,149, -77.464
 63,149, -76.732
 64,149, -75.087
 65,149, -71.838
 66,149, -67.640
 67,149, -61.932
 68,149, -53.725
 69,149, -44.024
 70,149, -33.199
 71,149, -20.928
 72,149,-7.238
 73,149, 7.801
 74,149,24.069
 40,150, 285.472
 41,150, 253.243
 42,150, 220.573
 43,150, 192.448
 44,150, 162.960
 45,150, 138.085
 46,150, 111.707
 47,150,90.003
 48,150,66.651
 49,150,48.032
 50,150,27.615
 51,150,12.750
 52,150,-4.019
 53,150, -15.895
 54,150, -29.814
 55,150, -38.771
 56,150, -49.911
 57,150, -56.017
 58,150, -64.443
 59,150, -67.763
 60,150, -73.540
 61,150, -74.135
 62,150, -77.325
 63,150, -75.255
 64,150, -75.919
 65,150, -71.241
 66,150, -69.439
 67,150, -62.211
 68,150, -58.000
 69,150, -46.741
 70,150, -38.547
 71,150, -24.561
 72,150, -13.612
 73,150, 3.141
 74,150,16.570
 40,151, 297.505
 41,151, 264.020
 42,151, 231.738
 43,151, 202.238
 44,151, 173.232
 45,151, 146.893
 46,151, 121.093
 47,151,97.844
 48,151,75.172
 49,151,54.931
 50,151,35.300
 51,151,18.711
 52,151, 2.788
 53,151, -10.909
 54,151, -23.901
 55,151, -34.772
 56,151, -44.902
 57,151, -53.013
 58,151, -60.345
 59,151, -65.852
 60,151, -70.368
 61,151, -73.130
 62,151, -75.052
 63,151, -75.248
 64,151, -74.555
 65,151, -72.229
 66,151, -68.979
 67,151, -64.188
 68,151, -58.438
 69,151, -51.240
 70,151, -41.477
 71,151, -30.093
 72,151, -17.503
 73,151,-3.543
 74,151,11.613
 75,151,28.096
 40,152, 308.253
 41,152, 275.141
 42,152, 241.574
 43,152, 212.509
 44,152, 182.124
 45,152, 156.313
 46,152, 129.048
 47,152, 106.424
 48,152,82.208
 49,152,62.693
 50,152,41.444
 51,152,25.661
 52,152, 8.012
 53,152,-4.802
 54,152, -19.615
 55,152, -29.524
 56,152, -41.567
 57,152, -48.633
 58,152, -58.075
 59,152, -62.600
 60,152, -69.309
 61,152, -70.684
 62,152, -74.595
 63,152, -73.490
 64,152, -75.055
 65,152, -71.340
 66,152, -70.433
 67,152, -64.163
 68,152, -60.840
 69,152, -52.071
 70,152, -46.389
 71,152, -33.331
 72,152, -23.430
 73,152,-7.810
 74,152, 4.560
 75,152,22.788
 76,152,37.662
 40,153, 319.939
 41,153, 286.174
 42,153, 252.969
 43,153, 222.560
 44,153, 192.627
 45,153, 165.383
 46,153, 138.665
 47,153, 114.524
 48,153,90.953
 49,153,69.846
 50,153,49.344
 51,153,31.878
 52,153,15.049
 53,153, 0.457
 54,153, -13.459
 55,153, -25.238
 56,153, -36.303
 57,153, -45.329
 58,153, -53.826
 59,153, -60.489
 60,153, -66.151
 61,153, -69.761
 62,153, -72.343
 63,153, -73.148
 64,153, -73.395
 65,153, -71.982
 66,153, -69.666
 67,153, -65.781
 68,153, -60.959
 69,153, -54.658
 70,153, -47.386
 71,153, -38.397
 72,153, -26.908
 73,153, -14.028
 74,153, 0.013
 75,153,15.406
 76,153,32.038
 40,154, 330.809
 41,154, 296.864
 42,154, 263.055
 43,154, 233.054
 44,154, 201.773
 45,154, 175.026
 46,154, 146.872
 47,154, 123.323
 48,154,98.236
 49,154,77.818
 50,154,55.727
 51,154,39.041
 52,154,20.528
 53,154, 6.791
 54,154,-8.903
 55,154, -19.751
 56,154, -32.684
 57,154, -40.699
 58,154, -51.230
 59,154, -56.883
 60,154, -64.678
 61,154, -67.207
 62,154, -72.017
 63,154, -71.497
 64,154, -73.571
 65,154, -70.807
 66,154, -70.784
 67,154, -65.461
 68,154, -63.013
 69,154, -55.184
 70,154, -50.368
 71,154, -39.851
 72,154, -32.380
 73,154, -17.894
 74,154,-6.589
 75,154,10.494
 76,154,24.298
 40,155, 343.036
 41,155, 308.050
 42,155, 274.067
 43,155, 243.367
 44,155, 212.510
 45,155, 184.359
 46,155, 156.720
 47,155, 131.684
 48,155, 107.207
 49,155,85.225
 50,155,63.841
 51,155,45.517
 52,155,27.796
 53,155,12.324
 54,155,-2.502
 55,155, -15.177
 56,155, -27.164
 57,155, -37.096
 58,155, -46.640
 59,155, -54.373
 60,155, -61.141
 61,155, -65.847
 62,155, -69.557
 63,155, -71.306
 64,155, -72.038
 65,155, -71.109
 66,155, -69.718
 67,155, -66.729
 68,155, -62.824
 69,155, -57.410
 70,155, -51.046
 71,155, -43.113
 72,155, -34.001
 73,155, -23.640
 74,155, -10.720
 75,155, 3.579
 76,155,19.084
 77,155,35.925
 40,156, 353.892
 41,156, 319.383
 42,156, 284.306
 43,156, 253.519
 44,156, 221.909
 45,156, 194.227
 46,156, 165.181
 47,156, 140.703
 48,156, 114.739
 49,156,93.410
 50,156,70.465
 51,156,52.895
 52,156,33.532
 53,156,18.887
 54,156, 2.324
 55,156,-9.448
 56,156, -23.263
 57,156, -32.215
 58,156, -43.682
 59,156, -50.423
 60,156, -59.267
 61,156, -62.914
 62,156, -68.794
 63,156, -69.410
 64,156, -72.401
 65,156, -70.070
 66,156, -70.508
 67,156, -66.120
 68,156, -64.540
 69,156, -57.639
 70,156, -53.679
 71,156, -44.253
 72,156, -37.624
 73,156, -25.592
 74,156, -16.862
 75,156,-0.930
 76,156,11.796
 77,156,30.357
 78,156,45.613
 41,157, 330.578
 42,157, 295.942
 43,157, 263.999
 44,157, 232.371
 45,157, 203.824
 46,157, 175.263
 47,157, 149.326
 48,157, 123.937
 49,157, 101.071
 50,157,78.798
 51,157,59.631
 52,157,41.034
 53,157,24.696
 54,157, 8.973
 55,157,-4.586
 56,157, -17.485
 57,157, -28.312
 58,157, -38.763
 59,157, -47.525
 60,157, -55.363
 61,157, -61.129
 62,157, -65.933
 63,157, -68.761
 64,157, -70.600
 65,157, -70.567
 66,157, -69.530
 67,157, -67.045
 68,157, -64.049
 69,157, -59.513
 70,157, -54.047
 71,157, -47.143
 72,157, -38.917
 73,157, -29.406
 74,157, -18.984
 75,157,-7.371
 76,157, 7.000
 77,157,22.735
 78,157,39.723
 41,158, 341.886
 42,158, 306.187
 43,158, 274.728
 44,158, 241.935
 45,158, 213.475
 46,158, 183.979
 47,158, 158.569
 48,158, 131.720
 49,158, 109.472
 50,158,85.663
 51,158,67.227
 52,158,47.029
 53,158,31.491
 54,158,14.072
 55,158, 1.387
 56,158, -13.299
 57,158, -23.177
 58,158, -35.455
 59,158, -43.243
 60,158, -53.101
 61,158, -57.829
 62,158, -64.748
 63,158, -66.467
 64,158, -70.510
 65,158, -69.291
 66,158, -70.542
 67,158, -66.477
 68,158, -65.434
 69,158, -59.452
 70,158, -56.342
 71,158, -47.977
 72,158, -42.183
 73,158, -31.046
 74,158, -23.129
 75,158,-9.795
 76,158, 0.173
 77,158,17.569
 78,158,31.738
 42,159, 317.813
 43,159, 285.228
 44,159, 252.930
 45,159, 223.249
 46,159, 193.928
 47,159, 167.455
 48,159, 141.149
 49,159, 117.391
 50,159,94.218
 51,159,74.225
 52,159,54.769
 53,159,37.577
 54,159,20.970
 55,159, 6.539
 56,159,-7.260
 57,159, -18.973
 58,159, -30.216
 59,159, -39.970
 60,159, -48.841
 61,159, -55.633
 62,159, -61.498
 63,159, -65.374
 64,159, -68.291
 65,159, -69.316
 66,159, -69.361
 67,159, -67.621
 68,159, -64.891
 69,159, -60.982
 70,159, -56.407
 71,159, -50.507
 72,159, -43.159
 73,159, -34.491
 74,159, -24.927
 75,159, -14.135
 76,159,-2.424
 77,159,10.421
 78,159,26.263
 79,159,43.454
 42,160, 328.066
 43,160, 295.942
 44,160, 262.510
 45,160, 233.363
 46,160, 202.814
 47,160, 176.642
 48,160, 149.185
 49,160, 126.011
 50,160, 101.328
 51,160,82.044
 52,160,61.025
 53,160,44.608
 54,160,26.345
 55,160,12.759
 56,160,-2.788
 57,160, -13.582
 58,160, -26.568
 59,160, -35.366
 60,160, -46.201
 61,160, -51.976
 62,160, -59.902
 63,160, -62.693
 64,160, -67.761
 65,160, -67.627
 66,160, -69.907
 67,160, -66.928
 68,160, -66.511
 69,160, -60.787
 70,160, -58.369
 71,160, -51.042
 72,160, -46.078
 73,160, -35.827
 74,160, -28.720
 75,160, -16.251
 76,160,-7.067
 77,160, 7.551
 78,160,18.737
 79,160,37.619
 80,160,53.250
 42,161, 339.683
 43,161, 306.465
 44,161, 273.503
 45,161, 243.164
 46,161, 213.162
 47,161, 185.708
 48,161, 158.660
 49,161, 134.191
 50,161, 110.108
 51,161,89.306
 52,161,69.005
 53,161,50.974
 54,161,33.497
 55,161,18.204
 56,161, 3.515
 57,161,-9.075
 58,161, -21.020
 59,161, -31.729
 60,161, -41.596
 61,161, -49.381
 62,161, -56.275
 63,161, -61.170
 64,161, -65.136
 65,161, -67.193
 66,161, -68.295
 67,161, -67.589
 68,161, -65.913
 69,161, -62.538
 70,161, -58.187
 71,161, -53.217
 72,161, -46.744
 73,161, -38.914
 74,161, -30.203
 75,161, -20.226
 76,161,-9.345
 77,161, 2.710
 78,161,15.691
 79,161,29.751
 80,161,47.085
 42,162, 349.947
 43,162, 317.168
 44,162, 283.101
 45,162, 253.271
 46,162, 222.069
 47,162, 195.201
 48,162, 166.866
 49,162, 142.951
 50,162, 117.466
 51,162,97.351
 52,162,75.526
 53,162,58.246
 54,162,39.150
 55,162,24.676
 56,162, 8.277
 57,162,-3.423
 58,162, -17.159
 59,162, -26.811
 60,162, -38.591
 61,162, -45.378
 62,162, -54.281
 63,162, -58.113
 64,162, -64.178
 65,162, -65.103
 66,162, -68.388
 67,162, -66.473
 68,162, -67.059
 69,162, -62.392
 70,162, -60.377
 71,162, -53.458
 72,162, -49.322
 73,162, -39.953
 74,162, -33.651
 75,162, -22.043
 76,162, -13.640
 77,162, 0.142
 78,162,10.577
 79,162,26.460
 80,162,38.847
 43,163, 327.715
 44,163, 294.096
 45,163, 263.102
 46,163, 232.420
 47,163, 204.296
 48,163, 176.560
 49,163, 151.306
 50,163, 126.506
 51,163, 104.882
 52,163,83.753
 53,163,64.896
 54,163,46.562
 55,163,30.418
 56,163,14.849
 57,163, 1.391
 58,163, -11.443
 59,163, -22.821
 60,163, -33.650
 61,163, -42.395
 62,163, -50.287
 63,163, -56.172
 64,163, -61.159
 65,163, -64.223
 66,163, -66.359
 67,163, -66.666
 68,163, -66.023
 69,163, -63.654
 70,163, -60.325
 71,163, -55.284
 72,163, -49.682
 73,163, -42.688
 74,163, -34.828
 75,163, -25.664
 76,163, -15.608
 77,163,-4.340
 78,163, 7.843
 79,163,21.145
 80,163,35.379
 81,163,50.636
 43,164, 338.411
 44,164, 303.716
 45,164, 273.207
 46,164, 241.351
 47,164, 213.785
 48,164, 184.788
 49,164, 160.171
 50,164, 134.028
 51,164, 113.081
 52,164,90.543
 53,164,72.414
 54,164,52.498
 55,164,37.147
 56,164,19.905
 57,164, 7.308
 58,164,-7.285
 59,164, -17.601
 60,164, -30.290
 61,164, -38.056
 62,164, -47.907
 63,164, -52.750
 64,164, -59.787
 65,164, -61.744
 66,164, -66.013
 67,164, -65.139
 68,164, -66.709
 69,164, -63.079
 70,164, -62.037
 71,164, -55.232
 72,164, -51.925
 73,164, -43.435
 74,164, -37.939
 75,164, -27.188
 76,164, -19.564
 77,164,-6.614
 78,164, 3.069
 79,164,18.148
 80,164,29.818
 81,164,46.950
 82,164,60.523
 43,165, 348.986
 44,165, 314.716
 45,165, 283.072
  46,165, 251.711
  47,165, 222.915
  48,165, 194.488
  49,165, 168.557
  50,165, 143.065
  51,165, 120.805
  52,165,98.845
  53,165,79.352
  54,165,60.173
  55,165,43.190
  56,165,26.751
  57,165,12.433
  58,165,-1.288
  59,165, -13.268
  60,165, -25.023
  61,165, -34.697
  62,165, -43.557
  63,165, -50.403
  64,165, -56.385
  65,165, -60.432
  66,165, -63.579
  67,165, -64.876
  68,165, -65.248
  69,165, -63.867
  70,165, -61.544
  71,165, -56.713
  72,165, -51.981
  73,165, -45.823
  74,165, -38.812
  75,165, -30.461
  76,165, -21.230
  77,165, -10.747
  78,165, 0.638
  79,165,13.184
  80,165,26.652
  81,165,41.187
  82,165,56.658
  44,166, 324.362
  45,166, 293.178
  46,166, 260.671
  47,166, 232.407
  48,166, 202.742
  49,166, 177.418
  50,166, 150.607
  51,166, 129.122
  52,166, 105.838
  53,166,86.855
  54,166,66.397
  55,166,50.181
  56,166,32.106
  57,166,18.622
  58,166, 3.177
  59,166,-7.752
  60,166, -21.318
  61,166, -30.032
  62,166, -40.800
  63,166, -46.627
  64,166, -54.610
  65,166, -57.574
  66,166, -62.806
  67,166, -62.950
  68,166, -65.487
  69,166, -62.876
  70,166, -62.793
  71,166, -56.368
  72,166, -53.891
  73,166, -46.280
  74,166, -41.591
  75,166, -31.697
  76,166, -24.854
  77,166, -12.736
  78,166,-3.803
  79,166,10.473
  80,166,21.423
  81,166,37.785
  82,166,50.676
  44,167, 335.373
  45,167, 303.082
  46,167, 271.043
  47,167, 241.576
  48,167, 212.452
  49,167, 185.838
  50,167, 159.646
  51,167, 136.888
  52,167, 114.385
  53,167,94.023
  54,167,73.991
  55,167,56.530
  56,167,39.232
  57,167,24.062
  58,167, 9.462
  59,167,-3.086
  60,167, -15.735
  61,167, -26.307
  62,167, -36.104
  63,167, -43.885
  64,167, -50.836
  65,167, -55.843
  66,167, -59.977
  67,167, -62.246
  68,167, -63.613
  69,167, -63.204
  70,167, -61.873
  71,167, -57.504
  72,167, -53.644
  73,167, -48.324
  74,167, -42.164
  75,167, -34.627
  76,167, -26.223
  77,167, -16.527
  78,167,-5.940
  79,167, 5.850
  80,167,18.551
  81,167,32.363
  82,167,47.103
  44,168, 345.048
  45,168, 313.195
  46,168, 280.037
  47,168, 251.074
  48,168, 220.739
  49,168, 194.702
  50,168, 167.214
  51,168, 145.213
  52,168, 121.425
  53,168, 101.872
  54,168,80.453
  55,168,63.365
  56,168,44.891
  57,168,30.528
  58,168,14.239
  59,168, 2.569
  60,168, -11.695
  61,168, -21.324
  62,168, -32.982
  63,168, -39.765
  64,168, -48.669
  65,168, -52.616
  66,168, -58.790
  67,168, -59.933
  68,168, -63.418
  69,168, -61.810
  70,168, -62.671
  71,168, -56.866
  72,168, -55.221
  73,168, -48.491
  74,168, -44.612
  75,168, -35.577
  76,168, -29.518
  77,168, -18.234
  78,168, -10.055
  79,168, 3.416
  80,168,13.646
  81,168,29.236
  82,168,41.443
  45,169, 323.141
  46,169, 290.428
  47,169, 260.288
  48,169, 230.466
  49,169, 203.163
  50,169, 176.263
  51,169, 153.028
  52,169, 130.002
  53,169, 109.109
  54,169,88.504
  55,169,69.976
  56,169,51.810
  57,169,36.290
  58,169,20.818
  59,169, 7.411
  60,169,-5.804
  61,169, -17.243
  62,169, -27.949
  63,169, -36.638
  64,169, -44.534
  65,169, -50.476
  66,169, -55.577
  67,169, -58.800
  68,169, -61.143
  69,169, -61.691
  70,169, -61.336
  71,169, -57.656
  72,169, -54.670
  73,169, -50.192
  74,169, -44.885
  75,169, -38.167
  76,169, -30.592
  77,169, -21.688
  78,169, -11.901
  79,169,-0.872
  80,169,11.060
  81,169,24.146
  82,169,38.152
  45,170, 333.267
  46,170, 299.461
  47,170, 269.800
  48,170, 238.790
  49,170, 212.035
  50,170, 183.863
  51,170, 161.369
  52,170, 137.096
  53,170, 116.992
  54,170,95.037
  55,170,77.351
  56,170,57.737
  57,170,42.486
  58,170,25.914
  59,170,13.353
  60,170,-1.439
  61,170, -11.951
  62,170, -24.471
  63,170, -32.183
  64,170, -41.985
  65,170, -46.892
  66,170, -53.987
  67,170, -56.109
  68,170, -60.527
  69,170, -59.905
  70,170, -61.698
  71,170, -56.721
  72,170, -55.914
  73,170, -50.067
  74,170, -47.004
  75,170, -38.831
  76,170, -33.562
  77,170, -23.114
  78,170, -15.696
  79,170,-3.031
  80,170, 6.472
  81,170,21.288
  82,170,32.805
  83,170,51.515
  45,171, 343.260
  46,171, 309.876
  47,171, 279.063
  48,171, 248.540
  49,171, 220.544
  50,171, 192.929
  51,171, 169.238
  52,171, 145.711
  53,171, 124.303
  54,171, 103.143
  55,171,84.054
  56,171,65.288
  57,171,48.539
  58,171,32.185
  59,171,18.530
  60,171, 4.751
  61,171,-7.525
  62,171, -19.111
  63,171, -28.682
  64,171, -37.498
  65,171, -44.355
  66,171, -50.402
