Z,A,M
22,46,-44.192
23,46,-36.656
24,46,-29.185
25,46,-12.075
26,46,1.644
27,46,25.243
28,46,45.832
11,47,153.517
12,47,116.423
13,47,84.375
14,47,53.658
15,47,29.355
16,47,7.355
17,47,-9.978
18,47,-24.941
19,47,-35.799
20,47,-42.339
21,47,-44.837
22,47,-44.908
23,47,-41.966
24,47,-34.334
25,47,-21.989
26,47,-6.562
27,47,11.409
28,47,33.587
12,48,126.815
13,48,94.897
14,48,61.834
15,48,37.962
16,48,13.057
17,48,-3.525
18,48,-21.889
19,48,-31.689
20,48,-43.945
21,48,-44.539
22,48,-48.567
23,48,-43.543
24,48,-42.415
25,48,-28.012
26,48,-17.459
27,48,2.236
28,48,18.633
29,48,46.877
12,49,139.388
13,49,105.362
14,49,72.520
15,49,46.001
16,49,21.605
17,49,1.887
18,49,-15.648
19,49,-29.063
20,49,-40.182
21,49,-46.655
22,49,-48.779
23,49,-47.946
24,49,-44.679
25,49,-36.786
26,49,-24.245
27,49,-9.206
28,49,8.903
29,49,31.515
30,49,58.977
12,50,150.210
13,50,116.283
14,50,81.316
15,50,55.188
16,50,28.137
17,50,9.110
18,50,-11.553
19,50,-23.979
20,50,-38.692
21,50,-43.927
22,50,-51.866
23,50,-49.039
24,50,-49.942
25,50,-41.708
26,50,-33.893
27,50,-16.898
28,50,-3.548
29,50,20.698
30,50,42.416
12,51,163.036
13,51,127.227
14,51,92.440
15,51,63.908
16,51,37.319
17,51,15.411
18,51,-4.488
19,51,-20.249
20,51,-33.898
21,51,-42.961
22,51,-49.549
23,51,-52.757
24,51,-51.621
25,51,-47.773
26,51,-39.623
27,51,-27.151
28,51,-11.903
29,51,7.793
30,51,31.018
32,51,87.626
12,52,174.103
13,52,138.379
14,52,101.681
15,52,73.512
16,52,44.503
17,52,23.234
18,52,0.456
19,52,-14.382
20,52,-31.351
21,52,-39.241
22,52,-49.593
23,52,-51.322
24,52,-56.226
25,52,-50.255
26,52,-48.285
27,52,-33.695
28,52,-23.066
29,52,-1.480
30,52,17.054
32,52,69.448
12,53,187.361
13,53,149.623
14,53,113.080
15,53,82.741
16,53,54.159
17,53,30.246
18,53,8.175
19,53,-9.745
20,53,-25.720
21,53,-37.148
22,53,-46.226
23,53,-51.900
24,53,-55.249
25,53,-55.558
26,53,-51.416
27,53,-43.012
28,53,-30.327
29,53,-13.131
30,53,7.205
31,53,30.007
32,53,56.395
12,54,198.903
13,54,161.262
14,54,122.602
15,54,92.612
16,54,61.834
17,54,38.519
18,54,13.799
19,54,-3.258
20,54,-22.305
21,54,-32.623
22,54,-45.190
23,54,-49.461
24,54,-56.719
25,54,-55.357
26,54,-57.525
27,54,-48.641
28,54,-40.461
29,54,-21.191
30,54,-5.373
31,54,19.183
32,54,40.909
13,55,173.071
14,55,134.617
15,55,102.192
16,55,71.818
17,55,46.084
18,55,22.024
19,55,2.119
20,55,-16.001
21,55,-29.597
22,55,-40.964
23,55,-48.899
24,55,-54.682
25,55,-57.398
26,55,-57.818
27,55,-55.505
28,55,-46.851
29,55,-31.837
30,55,-14.032
31,55,6.163
32,55,29.560
34,55,84.653
14,56,144.716
15,56,112.642
16,56,79.838
17,56,54.672
18,56,28.180
19,56,9.086
20,56,-11.879
21,56,-24.425
22,56,-39.036
23,56,-45.645
24,56,-55.062
25,56,-56.186
26,56,-60.641
27,56,-56.473
28,56,-56.164
29,56,-38.912
30,56,-25.481
31,56,-3.354
32,56,15.555
34,56,67.640
14,57,156.635
15,57,122.898
16,57,90.439
17,57,62.648
18,57,36.779
19,57,15.053
20,57,-5.041
21,57,-20.627
22,57,-34.112
23,57,-44.133
24,57,-52.157
25,57,-57.077
26,57,-59.869
27,57,-59.893
28,57,-57.651
29,57,-48.750
30,57,-33.169
31,57,-15.270
32,57,5.490
33,57,28.504
34,57,54.788
14,58,166.641
15,58,133.327
16,58,99.156
17,58,71.825
18,58,43.332
19,58,22.375
20,58,-0.353
21,58,-14.943
22,58,-31.447
23,58,-40.217
24,58,-51.630
25,58,-55.041
26,58,-61.593
27,58,-59.848
28,58,-61.748
29,58,-52.615
30,58,-43.695
31,58,-23.706
32,58,-7.292
33,58,17.526
34,58,39.348
14,59,178.332
15,59,143.578
16,59,109.860
17,59,80.584
18,59,52.567
19,59,28.801
20,59,6.895
21,59,-10.514
22,59,-25.958
23,59,-37.914
24,59,-48.013
25,59,-54.971
26,59,-59.948
27,59,-62.112
28,59,-62.171
29,59,-57.442
30,59,-48.296
31,59,-34.715
32,59,-16.294
33,59,4.319
34,59,27.867
36,59,82.578
14,60,188.111
15,60,153.808
16,60,118.590
17,60,89.908
18,60,59.914
19,60,36.742
20,60,12.024
21,60,-4.434
22,60,-22.690
23,60,-33.465
24,60,-46.732
25,60,-52.263
26,60,-60.757
27,60,-61.240
28,60,-65.167
29,60,-58.600
30,60,-55.454
31,60,-40.061
